original_hm,target
I was given a bonus for working on sunday.,achievement
My husband told me how much he enjoyed the dinner that I had made.  It makes me feel good to prepare food that our family really enjoys.,affection
I went to my friend's birthday party and met old friends and get delicious food.,bonding
one event that made me happy was graduating college. It was great becuase it took me a while and I felt like I was running out of time. however I managed to achieve my goal as get my bachelors.,achievement
I was able to get an event-based skin for a character in Overwatch.,achievement
My team won 3 kickball games in a row.,achievement
"I was in tune with my what I would say, think, and do while being consistent with my habits and getting good grades in class.  ",achievement
I received a paycheck!,achievement
My son made honor roll at school. ,achievement
I had a nice phone chat with my dad.,affection
Getting back in touch and spending the day with an old friend that I had lost contact with for months.,bonding
I recently received a pay raise at my job that really excited me because I was recognized for all my heart work and dedication  I put into my work place.,achievement
I went to the apple store and bought a brand new apple mac laptop computer for myself.,achievement
One of my ebay items sold for triple its original price.,achievement
I read a funny article about baseball and it made remember some older players.,leisure
"My husband surprised me the other night with a long back rub and after a really tiring day. It felt so good. And he also surprised me with ""World Best Chocolate"" candy bar, which I used to sell when I was a kid. It brought back memories. Happy memories.",affection
Just the way he said it cheered me up. I couldn't stop smiling for the rest of the day!,enjoy_the_moment
MY BEST FRIEND MARRIAGE FUNCTION ,bonding
SPENDING TIME WITH KIDS,affection
I went  to the movies with my girlfriend to see Beauty and the Beast.,affection
I got accepted into the graduate school program that was my top choice. ,achievement
"I got a job offer from a really good place. I recently graduated from medical school, and within the past 24 hours, I as offered the job I really wanted.",achievement
Went strawberry picking with the family,affection
"i got a hold of my buddy today, and we're going to go camping while my wife has the baby with her out of town.",bonding
I was happy the day I finally got the tattoo that I had been wanting to get for over a year. ,achievement
We finally got our garden planted.,achievement
"Recently My sister came to India to Visit us. But For a quite while even before she visiting us, she has been suffering.",affection
I helped my parents with some housework that they needed done.,affection
My husband was on TV twice talking about our upcoming symphony concert.,affection
Seeing my husband on his lunch break always makes me happy. ,affection
"I had an incredible work day yesterday, making me happy. ",enjoy_the_moment
My uncle just found out he's getting full time hours at his new job when they originally only hired him for part time work. ,affection
I was happy when I took my dogs over to my mom's and they hung out with her dog and we played video games all day.,affection
"I had lunch with my parents today, and it was nice just catching up with them.",affection
I was happy because a friend called me so we can get together later this week.,bonding
"Having nothing else to do, I was finally able to catch u on a few of the books and light novels I'm currently reading.",leisure
An old friend told me she's planning a long weekend to visit me this summer.,bonding
i brought new watch to day morning,achievement
I made dinner for my mom.,affection
I took a great picture with my kids.,affection
My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,affection
I found out I'm going to be an aunt. My older brother and his wife are having a baby!,affection
I was thinking a lot about my fiancee.,affection
